date,open,high,low,close,adj_close,volume
2019-01-02,3.266,3.462,3.2513,3.4055,3.377,508752000
2019-01-03,3.3447,3.379,3.1923,3.1997,3.173,705552000
2019-01-04,3.2735,3.4432,3.2425,3.4048,3.3762,585620000
2019-01-07,3.4625,3.6223,3.4107,3.585,3.555,709160000
2019-01-08,3.6672,3.6695,3.4225,3.4957,3.4665,786016000
2019-01-09,3.5475,3.6123,3.4965,3.5645,3.5347,617260000
2019-01-10,3.545,3.6395,3.484,3.6307,3.6003,523156000
2019-01-11,3.6082,3.7438,3.5803,3.7208,3.6896,874764000
2019-01-14,3.668,3.7865,3.6442,3.761,3.7295,730168000
2019-01-15,3.794,3.8338,3.7283,3.7468,3.7154,617012000
2019-01-16,3.7743,3.8075,3.7155,3.721,3.6898,470104000
2019-01-17,3.6878,3.8333,3.6602,3.793,3.7612,493436000
2019-01-18,3.8433,3.9495,3.7912,3.9232,3.8904,651336000
2019-01-22,3.8928,3.9045,3.6888,3.7192,3.6881,661552000
2019-01-23,3.775,3.8645,3.7008,3.7322,3.701,591020000
2019-01-24,3.8175,3.9637,3.8128,3.946,3.913,708972000
2019-01-25,3.886,4.022,3.7825,4.0037,3.9702,1154572000
2019-01-28,3.4137,3.541,3.275,3.4502,3.4214,2511528000
2019-01-29,3.4037,3.4525,3.2752,3.29,3.2625,1153932000
2019-01-30,3.3668,3.4492,3.2865,3.4348,3.406,974228000
2019-01-31,3.4315,3.6298,3.4095,3.5938,3.5637,842852000
2019-02-01,3.6125,3.6697,3.5645,3.6182,3.588,625048000
2019-02-04,3.6342,3.767,3.612,3.7295,3.6983,528592000
2019-02-05,3.7415,3.7857,3.7075,3.7487,3.7174,542424000
2019-02-06,3.7822,3.89,3.7768,3.825,3.793,702464000
2019-02-07,3.7782,3.7805,3.6423,3.6855,3.6546,637120000
2019-02-08,3.6177,3.715,3.6033,3.7043,3.6732,461604000
2019-02-11,3.6597,3.7145,3.6125,3.6613,3.6306,495180000
2019-02-12,3.7,3.795,3.6855,3.7792,3.7476,591060000
2019-02-13,3.809,3.8958,3.7952,3.822,3.79,605372000
2019-02-14,3.821,3.8918,3.7775,3.8633,3.8309,827264000
2019-02-15,4.0738,4.0967,3.9105,3.9335,3.9006,1516748000
2019-02-19,3.9227,3.9973,3.9035,3.916,3.8832,551892000
2019-02-20,3.9455,4.0315,3.9343,3.9637,3.9306,540988000
2019-02-21,3.9765,4.0012,3.8795,3.8942,3.8616,448548000
2019-02-22,3.9465,3.9987,3.9327,3.9797,3.9464,401740000
2019-02-25,4.064,4.132,3.9585,3.9673,3.934,656020000
2019-02-26,3.9625,4.019,3.8937,3.9275,3.8946,488464000
2019-02-27,3.913,3.9397,3.8277,3.8853,3.8527,500256000
2019-02-28,3.875,3.8975,3.834,3.8565,3.8281,324944000
2019-03-01,3.9067,3.9537,3.848,3.9113,3.8825,357188000
2019-03-04,3.95,3.973,3.8625,3.9195,3.8907,409992000
2019-03-05,3.9037,3.9515,3.849,3.913,3.8842,362924000
2019-03-06,3.904,3.9125,3.7985,3.8012,3.7733,403524000
2019-03-07,3.7775,3.7873,3.685,3.7315,3.7041,450104000
2019-03-08,3.6415,3.7768,3.62,3.766,3.7383,422416000
2019-03-11,3.7898,4.0515,3.7422,4.0285,3.9989,859728000
2019-03-12,4.0565,4.1097,3.9797,4.063,4.0331,579576000
2019-03-13,4.1007,4.245,4.0932,4.2155,4.1845,768900000
2019-03-14,4.2248,4.2368,4.1312,4.139,4.1086,519384000
2019-03-15,4.1825,4.2882,4.179,4.2453,4.214,661484000
2019-03-18,4.277,4.3313,4.1965,4.2238,4.1927,486992000
2019-03-19,4.319,4.4375,4.302,4.3927,4.3605,854972000
2019-03-20,4.422,4.4757,4.325,4.36,4.3279,719148000
2019-03-21,4.3833,4.625,4.3783,4.5985,4.5647,824312000
2019-03-22,4.571,4.62,4.4235,4.4375,4.4049,747644000
2019-03-25,4.3965,4.4612,4.2778,4.3445,4.3126,525212000
2019-03-26,4.4872,4.5437,4.365,4.4218,4.3892,703508000
2019-03-27,4.4475,4.4942,4.3425,4.4125,4.3801,474372000
2019-03-28,4.4387,4.4975,4.3777,4.4313,4.3987,480264000
2019-03-29,4.4985,4.5135,4.4478,4.489,4.456,456896000
2019-04-01,4.5815,4.5875,4.5093,4.557,4.5235,483824000
2019-04-02,4.5813,4.6198,4.538,4.575,4.5414,440920000
2019-04-03,4.625,4.775,4.62,4.7155,4.6808,783504000
2019-04-04,4.7,4.7492,4.6432,4.7065,4.6719,457376000
2019-04-05,4.75,4.7913,4.7133,4.7737,4.7387,481744000
2019-04-08,4.743,4.82,4.7188,4.7948,4.7595,424192000
2019-04-09,4.761,4.7723,4.689,4.7315,4.6967,439972000
2019-04-10,4.7308,4.8285,4.7263,4.8025,4.7672,444772000
2019-04-11,4.805,4.8368,4.7387,4.7885,4.7533,374600000
2019-04-12,4.8275,4.8315,4.7415,4.7502,4.7153,471708000
2019-04-15,4.7425,4.7475,4.5775,4.6175,4.5836,440092000
2019-04-16,4.657,4.7242,4.624,4.7052,4.6707,394964000
2019-04-17,4.7405,4.7615,4.6597,4.6823,4.6478,351004000
2019-04-18,4.689,4.7232,4.6295,4.6575,4.6233,380988000
2019-04-22,4.6337,4.7275,4.602,4.7118,4.6771,279936000
2019-04-23,4.725,4.7983,4.7153,4.7667,4.7317,346856000
2019-04-24,4.7772,4.8203,4.716,4.7793,4.7441,318204000
2019-04-25,4.7387,4.7613,4.5925,4.6727,4.6384,499296000
2019-04-26,4.5177,4.5223,4.3325,4.4523,4.4195,868988000
2019-04-29,4.4602,4.5113,4.3875,4.4833,4.4503,391920000
2019-04-30,4.4507,4.5507,4.4315,4.525,4.4917,362920000
2019-05-01,4.5778,4.6203,4.5115,4.5118,4.4786,354280000
2019-05-02,4.5215,4.6217,4.478,4.5798,4.5461,394684000
2019-05-03,4.5883,4.5982,4.5132,4.5753,4.5416,336824000
2019-05-06,4.3875,4.5085,4.35,4.4963,4.4632,422176000
2019-05-07,4.4475,4.4475,4.2793,4.3278,4.2959,555220000
2019-05-08,4.3,4.4288,4.288,4.348,4.316,419168000
2019-05-09,4.2785,4.2882,4.135,4.2547,4.2235,660248000
2019-05-10,4.2238,4.2898,4.1,4.2205,4.1895,569500000
2019-05-13,4.0875,4.1108,3.9453,3.9613,3.9321,656912000
